Model,MAE,MSE,R2
LinearRegression,82657.94605892096,10549721686.159065,0.9146454505138086
RobustRegression,82659.92033167926,10546232162.31736,0.9146736831766495
RidgeRegression,82658.16200151866,10548926302.06056,0.9146518857216195
LassoRegression,82657.8707961236,10549697781.474472,0.9146456439192505
ElasticNet,121396.82751833195,22882464164.439278,0.814865028861181
PolynomialRegression,82894.44774847719,10604968630.456247,0.9141984645002191
SGDRegressor,82675.93489297727,10547025376.441856,0.9146672655254302
ANN,1170112.7997088165,1467164549706.788,-10.870376573690166
RandomForest,98868.35366772562,15144220910.467106,0.8774727721179442
SVM,282858.36053643364,123484043566.05331,0.0009286291275543146
LGBM,92107.722605075,13118984652.901615,0.89385833502757
XGBoost,101462.84357944048,16287658025.106586,0.8682215745329037
KNN,105521.77631226745,17103111914.936457,0.861623988220792
